sample,fastq_1,fastq_2
L-058-00-INF-NP,https://github.com/jianhong/shotgun/raw/master/assets/test_data/L-058-00-INF-NP_R1.fastq.gz,https://github.com/jianhong/shotgun/raw/master/assets/test_data/L-058-00-INF-NP_R2.fastq.gz
L-058-01-INF-NP,https://github.com/jianhong/shotgun/raw/master/assets/test_data/L-058-01-INF-NP_R1.fastq.gz,https://github.com/jianhong/shotgun/raw/master/assets/test_data/L-058-01-INF-NP_R2.fastq.gz
